,molecule_chembl_id,canonical_smiles,bioactivity_class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
258,CHEMBL87567,COC(=O)C1C(c2ccc3ccccc3c2)CC2CCC1N2C,active,309.40900000000005,3.579100000000002,0.0,3.0,9.309803919971486
260,CHEMBL421167,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2[C@@H](O)CC1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,8.215382707367125
261,CHEMBL88563,COC(=O)C1C(c2ccccc2)CC2C[C@@H](O)C1N2C,active,275.348,1.3966999999999998,1.0,4.0,6.628932137728263
262,CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,active,277.33899999999994,2.5650000000000004,0.0,3.0,7.747146969020107
263,CHEMBL316428,COC(=O)C1=C(c2ccc3ccccc3c2)CC2[C@@H](O)CC1N2C,active,323.39200000000005,2.603700000000001,1.0,4.0,6.609064892896621
264,CHEMBL86590,CCOC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)C1N2C,active,358.2650000000001,3.0936000000000012,1.0,4.0,8.958607314841775
265,CHEMBL432571,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2[C@@H](O)CC1N2C,active,342.22200000000004,2.7573000000000008,1.0,4.0,7.258848401148215
266,CHEMBL2310846,COC(=O)[C@H]1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)[C@H]1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,5.570247719997592
267,CHEMBL314887,COC(=O)C1C(c2ccc(F)cc2)CC2[C@@H](O)CC1N2C,active,293.33799999999997,1.5358,1.0,4.0,6.131355561605174
268,CHEMBL606928,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2C[C@H](O)[C@H]1N2C,active,342.22200000000004,2.7573000000000008,1.0,4.0,6.576754126063192
269,CHEMBL421167,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2[C@@H](O)CC1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,8.51999305704285
270,CHEMBL2310846,COC(=O)[C@H]1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)[C@H]1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,6.31695296176115
271,CHEMBL87031,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,active,328.2390000000001,3.732700000000003,0.0,3.0,9.42021640338319
272,CHEMBL315172,COC(=O)C1C(c2ccc3ccccc3c2)CC2[C@@H](O)CC1N2C,inactive,325.4080000000001,2.5499,1.0,4.0,8.113509274827518
274,CHEMBL2079586,COC(=O)[C@H]1[C@@H](c2ccc(F)cc2)C[C@H]2CC[C@H]1N2C,active,277.33899999999994,2.5650000000000004,0.0,3.0,7.958607314841775
275,CHEMBL89709,COC(=O)C1C(c2ccc(F)cc2)CC2C[C@@H](O)C1N2C,active,293.33799999999997,1.5358,1.0,4.0,6.958607314841775
276,CHEMBL315172,COC(=O)C1C(c2ccc3ccccc3c2)CC2[C@@H](O)CC1N2C,active,325.4080000000001,2.5499,1.0,4.0,7.494850021680094
277,CHEMBL330228,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)C1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,7.318758762624412
278,CHEMBL2115225,COC(=O)[C@H]1C2C(=O)CC(C[C@H]1c1ccc(Cl)c(Cl)c1)N2C,active,342.2220000000001,2.9117000000000015,0.0,4.0,7.847711655616943
279,CHEMBL330250,COC(=O)C1=C(c2ccc(F)cc2)CC2[C@@H](O)CC1N2C,active,291.322,1.5896,1.0,4.0,4.698970004336019
281,CHEMBL91184,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)C[C@H]2C[C@@H](O)C1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,9.522878745280337
282,CHEMBL421546,COC(=O)C1=C(c2ccc3ccccc3c2)CC2C[C@@H](O)C1N2C,active,323.392,2.603700000000001,1.0,4.0,7.346787486224656
283,CHEMBL330228,COC(=O)C1C(c2ccc(Cl)c(Cl)c2)CC2C[C@@H](O)C1N2C,active,344.23800000000006,2.703500000000001,1.0,4.0,8.847711655616944
284,CHEMBL86654,COC(=O)C1C(c2ccc3ccccc3c2)CC2C[C@@H](O)C1N2C,active,325.408,2.549900000000001,1.0,4.0,8.55284196865778
285,CHEMBL88915,COC(=O)C1=C(c2ccc(Cl)c(Cl)c2)CC2CCC1N2C,active,326.22300000000007,3.786500000000003,0.0,3.0,8.935542010773082
287,CHEMBL314138,COC(=O)C1=C(c2ccc(F)cc2)CC2C[C@@H](O)C1N2C,active,291.322,1.5896,1.0,4.0,5.111820506081675
288,CHEMBL86654,COC(=O)C1C(c2ccc3ccccc3c2)CC2C[C@@H](O)C1N2C,active,325.408,2.549900000000001,1.0,4.0,8.899629454882437
289,CHEMBL2114227,COC(=O)[C@@H]1C[C@@H](c2ccc(Cl)c(Cl)c2)C2CC(=O)C1N2C,active,342.2220000000001,2.9117000000000015,0.0,4.0,7.85078088734462
291,CHEMBL89709,COC(=O)C1C(c2ccc(F)cc2)CC2C[C@@H](O)C1N2C,active,293.33799999999997,1.5358,1.0,4.0,6.910094888560602
