molecule_chembl_id,canonical_smiles,standard_value,bioactivity_class
CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,330.0,active
CHEMBL334576,Cc1cc(C)c2c(c1)C1=NCCN1C2(O)c1ccc(Cl)cc1,67.1,active
CHEMBL335423,COC(=O)C1C(c2ccc(OC)c(OC)c2)CC2CCC1N2C,1568.0,active
CHEMBL67078,c1ccc(CCCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,105.0,intermediate
CHEMBL132082,COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,13.3,active
CHEMBL132082,COc1ccc2c(c1)C(O)(c1ccc(Cl)cc1)N1CCN=C21,16.7,active
CHEMBL417035,Fc1ccc(CCNCC2CCCN(CCOC(c3ccccc3)c3ccccc3)C2)cc1,364.0,active
CHEMBL69380,CN(CCc1ccc(F)cc1)CC1CCCN(CCOC(c2ccccc2)c2ccccc2)C1,1260.0,active
CHEMBL132954,COc1cccc2c1C(O)(c1ccc(Cl)cc1)N1CCN=C21,67.1,active
CHEMBL132954,COc1cccc2c1C(O)(c1ccc(Cl)cc1)N1CCN=C21,60.0,active
CHEMBL336613,Clc1ccc(C2c3ccccc3C3=NCCN32)cc1,29.7,active
CHEMBL336613,Clc1ccc(C2c3ccccc3C3=NCCN32)cc1,6.0,active
CHEMBL781,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCN21,42.6,active
CHEMBL334577,OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCCN21,2.1,active
CHEMBL130593,OC1(c2ccc(Cl)cc2)c2c(ccc3ccccc23)C2=NCCN21,218.0,active
CHEMBL340281,OC1(c2ccc3ccccc3c2)c2ccc3ccccc3c2C2=NCCN21,3.3,active
CHEMBL133646,OC1(c2ccc(Cl)cc2)c2ccc3ccccc3c2C2=NCCN21,10.6,active
CHEMBL424627,OC1(c2ccc(Cl)cc2)c2ccccc2C2=N[C@@H]3CCCC[C@@H]3N21,8.4,active
CHEMBL337020,OC1(c2ccc(Cl)cc2)c2ccccc2C2=N[C@H]3CCCC[C@@H]3N21,2.7,intermediate
CHEMBL132676,OC1(c2ccc3ccccc3c2)c2ccccc2C2=NCCN21,4.1,active
CHEMBL130477,OC1(c2ccc(Cl)cc2)c2ccccc2C2=NCCCN21,4.2,active
CHEMBL130877,OC1(c2ccc(Cl)cc2)c2cc3ccccc3cc2C2=NCCN21,36.1,active
CHEMBL132713,OC1(c2cccc3ccccc23)c2ccccc2C2=NCCN21,1841.0,active
CHEMBL137020,Fc1ccc(C(OCCC2CCN(Cc3cc4ccccc4s3)CC2)c2ccc(F)cc2)cc1,11.9,active
